# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Standard Edition
# File: Y:\de1_soc_traning\lab\Advanced_Demo\demo1_axi\hardware\DE1_SOC_golden_top.csv
# Generated on: Fri May 11 17:13:11 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HEX0[1],Output,,,,PIN_A8,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Output,,,,PIN_AB27,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Output,,,,PIN_H13,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Output,,,,PIN_AD27,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Output,,,,PIN_AH3,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Output,,,,PIN_AH5,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Output,,,,PIN_AA20,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Output,,,,PIN_AC18,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Output,,,,PIN_AF4,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Output,,,,PIN_Y19,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Output,,,,PIN_V17,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Output,,,,PIN_E7,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Output,,,,PIN_G10,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Output,,,,PIN_AA12,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Output,,,,PIN_AC22,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Output,,,,PIN_AG16,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Output,,,,PIN_AB12,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Output,,,,PIN_AF24,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[4],Output,,,,PIN_AG18,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Output,,,,PIN_V16,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Output,,,,PIN_AG1,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Output,,,,PIN_B13,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Output,,,,PIN_AF18,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Output,,,,PIN_E3,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Output,,,,PIN_AJ1,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Output,,,,PIN_B12,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Output,,,,PIN_AJ2,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Output,,,,PIN_AF19,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Output,,,,PIN_AA26,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Output,,,,PIN_D4,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Output,,,,PIN_B2,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Output,,,,PIN_AA19,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Output,,,,PIN_AG2,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Output,,,,PIN_AD20,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Output,,,,PIN_B6,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Output,,,,PIN_B7,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Output,,,,PIN_AA21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_CONV_USB_N,Bidir,,,,PIN_B15,3.3-V LVTTL,,,,,,,,,,,,,
HPS_DDR3_ADDR[14],Output,,,,PIN_H25,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[13],Output,,,,PIN_C29,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[12],Output,,,,PIN_B30,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[11],Output,,,,PIN_C30,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[10],Output,,,,PIN_D29,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[9],Output,,,,PIN_G26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[8],Output,,,,PIN_H27,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[7],Output,,,,PIN_E28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[6],Output,,,,PIN_F29,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[5],Output,,,,PIN_J27,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[4],Output,,,,PIN_J25,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[3],Output,,,,PIN_F30,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[2],Output,,,,PIN_F28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[1],Output,,,,PIN_G30,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[0],Output,,,,PIN_F26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[2],Output,,,,PIN_J23,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[1],Output,,,,PIN_J24,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[0],Output,,,,PIN_E29,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CAS_N,Output,,,,PIN_E27,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CKE,Output,,,,PIN_L29,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CK_N,Output,,,,PIN_L23,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,Output,,,,PIN_M23,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CS_N,Output,,,,PIN_H24,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_DM[3],Output,,,,PIN_W30,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[2],Output,,,,PIN_R28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[1],Output,,,,PIN_M28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[0],Output,,,,PIN_K28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Bidir,,,,PIN_W29,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Bidir,,,,PIN_V30,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Bidir,,,,PIN_R26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Bidir,,,,PIN_R27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Bidir,,,,PIN_T28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Bidir,,,,PIN_T29,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Bidir,,,,PIN_P25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Bidir,,,,PIN_P24,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Bidir,,,,PIN_R29,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Bidir,,,,PIN_N27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Bidir,,,,PIN_P27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Bidir,,,,PIN_P26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Bidir,,,,PIN_N28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Bidir,,,,PIN_N29,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Bidir,,,,PIN_T26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Bidir,,,,PIN_U26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Bidir,,,,PIN_M30,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Bidir,,,,PIN_L28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Bidir,,,,PIN_M27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Bidir,,,,PIN_M26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Bidir,,,,PIN_K27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Bidir,,,,PIN_K29,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Bidir,,,,PIN_L26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Bidir,,,,PIN_K26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Bidir,,,,PIN_J29,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Bidir,,,,PIN_J30,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Bidir,,,,PIN_L24,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Bidir,,,,PIN_L25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Bidir,,,,PIN_G28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Bidir,,,,PIN_H30,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Bidir,,,,PIN_K22,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Bidir,,,,PIN_K23,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[3],Bidir,,,,PIN_R21,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_DQS_N[2],Bidir,,,,PIN_R18,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_N[1],Bidir,,,,PIN_N24,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_N[0],Bidir,,,,PIN_M19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[3],Bidir,,,,PIN_R22,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
